# time(s),temperature(deg C),Pressure(Pa)
0.000,15.289,102158.725
1.000,14.747,102000.866
2.000,15.159,101960.415
3.000,14.668,101646.807
4.000,15.256,100952.971
5.000,14.835,100497.963
6.000,14.526,100305.072
7.000,14.795,100458.181
8.000,15.291,102247.743
9.000,14.893,101000.359
10.000,14.960,100638.228
11.000,15.202,101139.254
12.000,14.789,101058.863
13.000,15.283,101798.874
14.000,14.621,100427.454
15.000,14.835,101006.180
16.000,15.437,100833.737
17.000,14.999,100636.680
18.000,15.427,100930.184
19.000,15.147,101970.745
20.000,15.099,101114.351
21.000,15.217,102094.774
22.000,15.375,101039.941
23.000,14.775,101421.933
24.000,14.903,100352.192
25.000,15.318,100842.173
26.000,14.621,101430.934
27.000,15.347,100898.672
28.000,14.671,100364.014
29.000,14.861,100976.229
30.000,15.299,100319.748
31.000,14.772,101663.867
32.000,14.548,101209.983
33.000,15.261,101016.249
34.000,14.705,102020.158
35.000,15.405,101622.128
36.000,15.070,100658.198
37.000,15.502,101454.705
38.000,14.853,100422.989
39.000,14.618,100431.409
40.000,15.455,102098.811
41.000,15.428,100661.384
42.000,15.437,102203.110
43.000,14.899,101728.089
44.000,15.257,100445.521
45.000,14.883,101889.828
46.000,15.292,100345.505
47.000,15.110,101582.011
48.000,15.318,101689.522
49.000,14.806,101198.070
50.000,15.154,101811.172
51.000,15.136,102114.159
52.000,15.240,101396.396
53.000,15.032,102067.938
54.000,14.668,101875.215
55.000,15.058,101799.121
56.000,15.102,101931.874
57.000,14.800,100728.907
58.000,14.720,102269.689
59.000,14.701,100419.769
60.000,14.621,100990.762
61.000,14.841,100635.266
62.000,15.536,101977.436
63.000,14.646,101345.877
64.000,14.836,100555.176
65.000,14.687,101011.004
66.000,14.889,100580.090
67.000,14.807,101880.693
68.000,15.382,100656.855
69.000,14.882,102052.027
70.000,15.333,100978.189
71.000,15.504,100428.801
72.000,14.959,100468.428
73.000,15.545,101656.136
74.000,15.413,101806.859
75.000,15.399,100999.177
76.000,14.727,101245.121
77.000,14.965,101993.445
78.000,14.776,102267.854
79.000,15.327,101068.474
80.000,15.089,102243.366
81.000,14.757,101019.245
82.000,15.042,100896.018
83.000,15.399,100716.777
84.000,15.466,102105.359
85.000,14.919,101081.281
86.000,14.877,101128.382
87.000,14.921,100318.967
88.000,15.449,101597.019
89.000,14.717,101188.171
90.000,14.756,101914.689
91.000,15.329,101265.169
92.000,15.358,101223.813
93.000,15.298,100877.499
94.000,15.446,102045.342
95.000,14.681,102137.162
96.000,14.787,101232.187
97.000,14.767,100761.957
98.000,14.639,100899.631
99.000,15.406,100923.671
100.000,15.315,100944.728
101.000,15.149,100379.745
102.000,14.897,101703.773
103.000,15.422,101383.193
104.000,15.528,100405.709
105.000,14.931,100529.763
106.000,15.551,101073.837
107.000,15.571,101841.657
108.000,14.691,101694.367
109.000,14.724,101463.651
110.000,15.387,100620.548
111.000,14.635,102173.759
112.000,15.016,102160.386
113.000,15.377,101647.044
114.000,15.415,101678.576
115.000,15.502,101323.365
116.000,15.293,101268.974
117.000,15.480,102101.933
118.000,14.918,100567.599
119.000,15.302,101880.727
120.000,15.368,101219.852
121.000,15.545,101124.217
122.000,14.878,100338.267
123.000,15.098,101788.126
124.000,15.496,101917.743
125.000,15.353,100511.156
126.000,15.359,102095.294
127.000,15.164,101840.145
128.000,15.021,101079.273
129.000,14.717,102213.286
130.000,15.055,100710.909
131.000,14.658,101616.601
132.000,15.227,101922.777
133.000,14.820,100832.847
134.000,14.622,100897.960
135.000,14.757,100816.991
136.000,15.207,100510.123
137.000,15.094,101676.185
138.000,14.923,101144.923
139.000,14.675,101650.565
140.000,14.992,101764.096
141.000,15.463,100307.141
142.000,15.137,100690.014
143.000,15.300,100865.737
144.000,15.577,102268.367
145.000,14.660,101661.959
146.000,15.097,101530.573
147.000,15.147,100417.472
148.000,15.288,100520.402
149.000,14.661,101307.072
150.000,15.537,101723.398
151.000,15.494,101130.444
152.000,15.507,101632.930
153.000,15.017,100568.865
154.000,15.500,100716.614
155.000,15.274,101967.887
156.000,15.568,101718.711
157.000,14.748,101113.234
158.000,15.299,100822.153
159.000,15.272,101303.919
160.000,14.824,100686.478
161.000,15.600,101710.127
162.000,15.572,102207.503
163.000,15.166,100748.407
164.000,15.446,101310.159
165.000,15.025,101252.896
166.000,14.833,101075.288
167.000,14.678,101866.579
168.000,15.115,101050.133
169.000,15.190,101761.723
170.000,15.475,100355.740
171.000,15.540,100335.745
172.000,15.284,101341.746
173.000,14.934,100384.425
174.000,15.134,102078.936
175.000,14.979,102160.892
176.000,15.167,101332.103
177.000,15.104,101120.350
178.000,14.787,102034.448
179.000,14.742,101512.973
180.000,15.421,102193.217
181.000,15.028,100760.825
182.000,15.411,101189.551
183.000,15.144,101466.267
184.000,15.037,101714.991
185.000,15.209,100523.770
186.000,15.248,100616.762
187.000,14.783,100850.657
188.000,15.307,101065.477
189.000,14.725,101932.652
190.000,15.544,101089.010
191.000,15.444,101370.396
192.000,15.182,101160.223
193.000,15.626,101064.035
194.000,14.812,100308.718
195.000,14.666,101370.321
196.000,15.602,100352.177
197.000,15.624,102100.116
198.000,14.970,101208.924
199.000,15.281,100987.442
200.000,15.333,102084.676
201.000,15.193,101436.338
202.000,15.271,102264.157
203.000,15.413,102077.368
204.000,15.218,101809.915
205.000,14.809,101337.603
206.000,15.328,100946.858
207.000,14.699,101890.868
208.000,15.585,101528.840
209.000,15.084,100960.681
210.000,15.638,100316.158
211.000,14.924,101980.307
212.000,14.706,100519.654
213.000,15.310,101427.733
214.000,15.412,100703.647
215.000,15.269,100311.060
216.000,15.262,100536.723
217.000,15.365,100924.059
218.000,14.929,101590.315
219.000,15.477,101680.342
220.000,15.576,100566.914
221.000,15.334,101960.711
222.000,15.597,101819.855
223.000,14.664,101394.212
224.000,15.281,101874.419
225.000,15.367,101533.121
226.000,15.629,100866.556
227.000,15.299,101033.790
228.000,15.088,101556.407
229.000,15.549,101715.872
230.000,15.152,100538.967
231.000,15.429,100328.513
232.000,15.068,101851.287
233.000,15.371,101508.834
234.000,15.154,101932.824
235.000,15.438,101091.110
236.000,15.324,101134.823
237.000,15.023,100359.737
238.000,14.726,102294.882
239.000,14.969,101310.827
240.000,14.705,102222.250
241.000,14.762,101173.622
242.000,15.160,102032.073
243.000,15.316,100636.113
244.000,15.320,100690.796
245.000,15.002,100908.057
246.000,15.115,101672.335
247.000,15.472,101135.549
248.000,14.987,101170.522
249.000,15.228,102007.337
250.000,15.423,100404.532
251.000,14.872,100479.487
252.000,15.469,100994.285
253.000,15.570,101827.222
254.000,15.373,100991.433
255.000,14.918,100583.552
256.000,15.305,101751.654
257.000,15.459,100791.199
258.000,15.559,100468.723
259.000,14.808,100634.224
260.000,14.705,100477.315
261.000,15.430,101380.705
262.000,15.578,102043.367
263.000,14.987,102133.032
264.000,15.143,100347.885
265.000,15.355,101070.597
266.000,15.460,101309.892
267.000,14.740,100308.911
268.000,15.363,100641.199
269.000,15.652,101539.397
270.000,15.633,101704.946
271.000,15.337,100694.623
272.000,15.157,100455.639
273.000,15.220,100355.246
274.000,15.249,101796.895
275.000,15.235,101127.928
276.000,15.211,100449.492
277.000,15.272,101926.413
278.000,14.866,101993.118
279.000,14.982,100607.929
280.000,15.147,102259.360
281.000,15.031,102220.355
282.000,14.974,101107.242
283.000,15.184,101721.135
284.000,15.484,100900.160
285.000,14.875,101495.592
286.000,15.547,102223.614
287.000,14.712,101865.412
288.000,14.971,100763.054
289.000,15.182,100626.818
290.000,14.916,101564.308
291.000,15.144,100832.607
292.000,15.100,102039.881
293.000,15.362,101687.134
294.000,14.852,100733.663
295.000,14.792,101878.044
296.000,15.235,100706.142
297.000,15.483,101046.443
298.000,15.540,102085.986
299.000,15.282,101982.554
300.000,15.514,102044.681
301.000,15.184,101036.634
302.000,14.831,102296.500
303.000,15.532,100817.987
304.000,15.381,102152.785
305.000,14.818,101987.710
306.000,15.436,101616.305
307.000,15.700,100663.632
308.000,15.582,101449.212
309.000,15.536,100874.883
310.000,15.542,102223.740
