# time(s),temperature(deg C),Pressure(Pa)
0.000,15.132,100464.084
1.000,15.136,100977.337
2.000,14.770,101328.848
3.000,14.963,102077.094
4.000,15.443,100421.205
5.000,15.196,101211.440
6.000,15.017,100968.029
7.000,14.613,100879.576
8.000,15.506,101255.934
9.000,14.777,101918.493
10.000,15.025,100572.970
11.000,15.123,101797.788
12.000,15.148,101653.307
13.000,15.203,102170.229
14.000,15.453,101022.853
15.000,14.752,100395.758
16.000,15.367,100797.874
17.000,14.775,100715.039
18.000,14.863,101752.211
19.000,15.325,101525.789
20.000,14.918,101861.345
21.000,15.104,101937.979
22.000,15.151,102112.291
23.000,14.976,100710.359
24.000,15.432,101495.832
25.000,15.171,101304.594
26.000,14.951,102239.773
27.000,14.898,102028.107
28.000,14.858,101489.802
29.000,15.110,100893.654
30.000,15.326,101227.669
31.000,15.503,102199.463
32.000,15.516,101978.305
33.000,14.757,101555.037
34.000,14.722,100505.000
35.000,14.734,101058.001
36.000,14.828,101751.236
37.000,15.126,101265.465
38.000,14.642,101567.103
39.000,14.894,100444.668
40.000,15.328,101332.776
41.000,15.404,100317.700
42.000,15.313,101588.305
43.000,15.476,100713.422
44.000,14.680,101192.466
45.000,14.855,102196.644
46.000,14.562,102201.140
47.000,14.898,101953.209
48.000,15.055,101034.606
49.000,14.714,101019.229
50.000,15.201,101757.963
51.000,14.818,100847.268
52.000,15.389,100961.233
53.000,15.358,100348.397
54.000,14.871,101653.616
55.000,15.051,101224.749
56.000,15.349,100344.684
57.000,15.430,101094.539
58.000,14.889,101287.756
59.000,14.990,100960.262
60.000,15.220,100639.783
61.000,14.686,102151.857
62.000,14.878,100422.193
63.000,14.832,100425.925
64.000,14.785,101495.879
65.000,14.756,101400.546
66.000,14.670,101368.064
67.000,15.017,101380.625
68.000,15.268,101106.066
69.000,14.606,102173.515
70.000,15.480,100470.744
71.000,14.803,100919.511
72.000,15.451,102117.188
73.000,15.314,101441.756
74.000,14.840,101500.572
75.000,15.204,100399.379
76.000,15.182,101467.546
77.000,15.183,102182.861
78.000,14.995,101393.183
79.000,14.605,101240.828
80.000,14.844,101531.158
81.000,15.061,101258.101
82.000,15.080,101238.417
83.000,15.309,101567.800
84.000,15.317,101247.947
85.000,15.258,100955.995
86.000,15.280,101527.711
87.000,15.006,100443.779
88.000,15.163,100676.416
89.000,15.274,100676.520
90.000,14.832,100349.655
91.000,15.428,100635.360
92.000,14.716,100735.604
93.000,14.831,100508.312
94.000,14.679,102074.129
95.000,15.276,100563.944
96.000,14.674,101602.489
97.000,14.750,100792.572
98.000,14.795,100823.413
99.000,14.938,101832.863
100.000,15.388,102026.650
101.000,14.586,101410.225
102.000,15.537,102251.481
103.000,15.549,101687.450
104.000,14.893,101371.242
105.000,15.283,100322.413
106.000,15.037,100577.757
107.000,14.785,101098.922
108.000,15.544,102209.085
109.000,15.094,101777.540
110.000,15.218,101894.322
111.000,14.649,101846.852
112.000,14.934,100571.880
113.000,15.143,100516.186
114.000,14.697,101178.245
115.000,14.772,101385.948
116.000,14.795,101865.333
117.000,14.951,102115.261
118.000,14.741,101352.851
119.000,14.854,101999.597
120.000,14.788,100783.573
121.000,15.095,101029.472
122.000,15.461,101820.635
123.000,15.435,100549.922
124.000,15.466,101489.959
125.000,15.403,101366.377
126.000,15.462,102240.999
127.000,15.255,100338.615
128.000,14.770,100625.081
129.000,14.805,101923.768
130.000,15.280,101928.452
131.000,15.127,101253.984
132.000,15.339,102210.544
133.000,15.470,101604.609
134.000,15.069,102206.580
135.000,14.605,101341.808
136.000,14.857,101276.085
137.000,14.907,101814.925
138.000,14.797,102117.210
139.000,14.975,100396.732
140.000,15.011,101111.905
141.000,15.343,100556.610
142.000,15.106,102019.973
143.000,15.360,101736.217
144.000,15.249,102117.946
145.000,14.993,102181.781
146.000,14.877,101469.679
147.000,15.473,101471.268
148.000,15.477,101882.059
149.000,15.558,100728.532
150.000,15.125,102203.565
151.000,15.346,101797.851
152.000,15.257,100658.892
153.000,15.140,101843.180
154.000,15.436,101506.381
155.000,14.777,100680.154
156.000,15.542,101544.483
157.000,15.447,101620.399
158.000,14.619,101922.355
159.000,15.225,101619.537
160.000,15.053,102292.735
161.000,15.153,101685.629
162.000,14.944,101608.470
163.000,14.738,101470.593
164.000,14.631,102053.886
165.000,15.201,101861.434
166.000,14.810,101046.997
167.000,14.871,102009.384
168.000,14.898,100934.422
169.000,15.104,101886.127
170.000,15.101,100640.123
171.000,15.535,100392.956
172.000,14.719,102243.496
173.000,15.057,100721.766
174.000,15.472,100419.864
175.000,15.252,101651.171
176.000,15.191,101835.473
177.000,14.728,101369.878
178.000,15.110,101217.646
179.000,14.647,100679.442
180.000,15.363,100505.616
181.000,14.818,102116.366
182.000,14.977,100599.403
183.000,15.553,100508.962
184.000,15.525,101482.405
185.000,15.221,101405.550
186.000,15.526,101512.472
187.000,15.316,100729.570
188.000,15.409,100596.468
189.000,14.960,101715.683
190.000,15.549,101074.013
191.000,15.064,102088.365
192.000,14.976,100787.681
193.000,15.268,100479.007
194.000,15.013,101072.296
195.000,15.447,101431.141
196.000,15.444,100669.751
197.000,14.934,101261.300
198.000,15.450,101831.372
199.000,14.838,101248.230
200.000,15.605,101176.920
201.000,15.362,102238.717
202.000,15.166,101218.293
203.000,15.365,100547.141
204.000,15.458,101817.770
205.000,15.261,101215.515
206.000,15.118,102042.361
207.000,15.425,101619.738
208.000,15.408,100954.575
209.000,15.579,101326.519
210.000,14.952,101127.621
211.000,15.120,102093.273
212.000,14.705,100935.131
213.000,14.704,101624.583
214.000,15.198,101707.183
215.000,15.133,100791.976
216.000,15.413,100325.161
217.000,15.316,100596.751
218.000,15.411,100907.248
219.000,14.790,100320.168
220.000,14.865,102203.153
221.000,15.382,101122.715
222.000,15.197,101169.018
223.000,14.841,101051.565
224.000,15.561,101132.863
225.000,14.863,102012.301
226.000,15.031,100996.515
227.000,14.854,100490.351
228.000,15.254,100704.771
229.000,15.487,100947.840
230.000,14.812,100950.006
231.000,15.345,101691.289
232.000,15.490,101980.935
233.000,15.222,101498.147
234.000,15.339,101523.044
235.000,14.930,101807.159
236.000,14.809,100967.504
237.000,15.309,101448.238
238.000,14.814,102028.941
239.000,14.781,101302.834
240.000,14.812,101761.122
241.000,15.380,100590.620
242.000,14.677,100941.122
243.000,14.683,101416.772
244.000,15.497,101837.750
245.000,15.381,101518.421
246.000,15.331,100993.953
247.000,15.408,102089.663
248.000,15.630,101253.186
249.000,15.050,101633.972
250.000,15.536,101389.416
251.000,15.662,101599.931
252.000,14.709,100346.158
253.000,15.208,101263.174
254.000,15.143,101239.117
255.000,14.740,101375.528
256.000,15.581,101978.506
257.000,14.924,101795.867
258.000,15.059,102089.259
259.000,15.639,101115.050
260.000,15.057,100648.733
261.000,14.709,100650.261
262.000,15.462,102241.296
263.000,15.133,101970.612
264.000,14.754,100920.564
265.000,15.509,102251.493
266.000,14.725,100886.244
267.000,14.813,101684.386
268.000,15.320,101454.466
269.000,15.029,100866.975
270.000,15.423,101963.748
271.000,15.632,100570.245
272.000,15.412,101659.777
273.000,15.008,101230.126
274.000,15.479,100783.720
275.000,14.951,100689.314
276.000,15.529,100433.190
277.000,15.340,100803.609
278.000,14.878,101668.348
279.000,15.603,100791.013
280.000,15.149,100622.736
281.000,14.980,100475.345
282.000,15.380,100778.849
283.000,14.975,100504.166
284.000,14.814,101332.077
285.000,14.882,100355.564
286.000,14.963,100842.308
287.000,15.652,101640.555
288.000,14.865,100954.884
289.000,15.327,101392.207
290.000,14.766,101311.440
291.000,15.658,102057.349
292.000,14.972,100383.993
293.000,15.612,100892.409
294.000,15.086,101156.733
295.000,15.499,101351.239
296.000,15.472,102007.256
297.000,15.169,100666.700
298.000,15.492,100504.217
299.000,15.142,100794.131
300.000,15.282,100311.017
301.000,15.603,101940.634
302.000,15.062,100820.317
303.000,15.487,101767.113
304.000,15.093,100476.645
305.000,15.085,100637.563
306.000,14.788,101535.428
307.000,14.834,101247.038
308.000,15.097,100366.512
309.000,15.309,100858.495
310.000,15.358,100897.911
311.000,15.472,100441.239
312.000,14.903,101250.110
313.000,14.875,101145.807
314.000,14.769,100637.969
315.000,15.669,101200.806
316.000,14.788,101849.265
317.000,15.604,101637.215
318.000,15.415,100374.747
319.000,15.471,100931.548
320.000,15.554,101163.241
321.000,15.322,101593.314
322.000,14.935,100690.001
323.000,14.892,101884.243
324.000,14.834,101850.530
325.000,14.909,101768.765
326.000,15.367,101515.117
327.000,14.989,100302.863
328.000,15.443,101167.317
329.000,14.951,100369.164
330.000,15.143,100810.185
331.000,14.937,100693.158
332.000,15.571,101895.297
333.000,14.983,101784.645
334.000,14.866,100990.038
335.000,14.859,100612.098
336.000,14.998,101852.896
337.000,14.883,101594.912
338.000,14.779,100847.722
339.000,15.408,100618.256
340.000,15.358,100747.480
341.000,15.427,100905.916
342.000,15.490,100910.366
343.000,14.784,100681.898
344.000,15.461,101673.719
345.000,15.264,101924.365
346.000,15.091,101289.814
347.000,15.621,100919.206
348.000,15.229,100944.067
349.000,15.523,101784.644
350.000,14.940,101353.829
351.000,15.503,101461.143
352.000,15.441,101744.073
353.000,15.645,101093.260
354.000,15.079,101931.245
355.000,15.105,100917.502
356.000,15.742,101264.988
357.000,14.800,100862.828
358.000,15.221,101536.889
359.000,15.466,101701.295
