# time(s),temperature(deg C),Pressure(Pa)
0.000,15.288,101942.141
1.000,15.102,101094.740
2.000,15.189,102135.017
3.000,14.857,101313.397
4.000,15.019,101401.373
5.000,15.445,101156.029
6.000,14.937,100847.505
7.000,14.878,100895.598
8.000,15.143,101166.248
9.000,15.130,101855.394
10.000,14.654,101054.776
11.000,14.856,101259.128
12.000,15.127,100503.805
13.000,15.218,101577.380
14.000,15.149,100788.058
15.000,14.683,101709.178
16.000,14.938,100381.691
17.000,15.046,101462.001
18.000,14.873,100429.371
19.000,14.552,101955.894
20.000,15.126,101398.298
21.000,15.187,100379.573
22.000,14.566,102063.701
23.000,14.587,101893.614
24.000,14.913,100537.746
25.000,15.421,101534.440
26.000,15.246,101546.524
27.000,14.909,100846.961
28.000,14.907,101380.826
29.000,15.442,100353.371
30.000,15.146,101891.189
31.000,14.829,101429.370
32.000,14.865,102060.977
33.000,15.350,101427.656
34.000,15.274,100758.999
35.000,14.652,100670.337
36.000,14.596,101778.572
37.000,15.137,100679.124
38.000,14.723,101621.178
39.000,14.732,100430.396
40.000,14.757,102295.552
41.000,15.252,101549.394
42.000,15.177,100373.499
43.000,14.791,101091.860
44.000,15.370,100763.093
45.000,14.821,101290.438
46.000,14.660,101554.763
47.000,15.459,101731.200
48.000,14.967,100910.374
49.000,15.356,101238.613
50.000,15.325,100714.234
51.000,14.868,100386.942
52.000,14.668,101617.390
53.000,14.599,101316.390
54.000,14.872,101498.712
55.000,14.863,101751.946
56.000,15.383,101064.350
57.000,15.340,101080.448
58.000,14.609,100426.794
59.000,15.272,100768.712
60.000,15.068,100350.025
61.000,15.283,101536.484
62.000,15.361,101131.551
63.000,15.088,100359.535
64.000,15.153,100635.005
65.000,15.165,101475.195
66.000,15.410,100806.804
67.000,14.847,101931.722
68.000,14.598,100739.451
69.000,15.512,101133.255
70.000,15.257,100409.180
71.000,14.820,102118.143
72.000,15.240,102202.522
73.000,15.153,100956.065
74.000,15.545,101285.067
75.000,14.692,100856.250
76.000,15.028,101284.975
77.000,15.015,101730.026
78.000,15.437,100325.911
79.000,14.855,101958.536
80.000,15.273,100572.085
81.000,15.383,100685.069
82.000,14.769,101718.679
83.000,15.263,101036.544
84.000,15.528,101113.345
85.000,14.743,100577.601
86.000,15.532,101936.000
87.000,15.293,101230.462
88.000,15.297,100496.319
89.000,15.154,100727.956
90.000,15.494,100341.506
91.000,14.672,100669.584
92.000,15.435,102258.132
93.000,14.821,102041.765
94.000,14.948,100320.442
95.000,14.993,100882.602
96.000,15.431,101643.172
97.000,15.540,101707.383
