# time(s),temperature(deg C),Pressure(Pa)
0.000,15.419,100743.216
1.000,15.148,100549.136
2.000,15.419,100484.299
3.000,15.425,102096.525
4.000,15.054,100335.787
5.000,15.130,101294.664
6.000,14.790,101710.843
7.000,15.079,101876.401
8.000,15.490,101379.794
9.000,15.389,100486.975
10.000,14.986,101071.206
11.000,14.719,101689.103
12.000,15.256,100967.546
13.000,14.785,101658.129
14.000,14.613,100622.852
15.000,14.826,100528.003
16.000,15.502,100744.129
17.000,14.559,100545.360
18.000,14.752,101006.581
19.000,15.224,102100.909
20.000,15.443,100724.069
21.000,15.353,101390.740
22.000,15.240,102257.379
23.000,15.127,102078.110
24.000,14.930,101051.077
25.000,14.731,100764.808
26.000,15.171,101593.886
27.000,15.347,100566.107
28.000,14.914,101605.683
29.000,14.652,101248.620
30.000,15.329,100748.837
31.000,15.107,102059.290
32.000,15.379,100861.255
33.000,14.582,102076.140
34.000,15.349,101020.175
35.000,14.856,101540.628
36.000,14.922,100790.376
37.000,14.545,101475.505
38.000,15.506,100446.951
39.000,14.644,100643.199
40.000,15.064,102297.500
41.000,15.160,101055.027
42.000,14.736,100448.059
43.000,15.224,101088.413
44.000,15.381,100955.016
45.000,14.685,101421.789
46.000,14.764,102152.096
47.000,15.335,101015.963
48.000,15.413,100571.534
49.000,15.282,101893.838
50.000,15.332,100791.443
51.000,14.648,101604.476
52.000,14.596,100651.915
53.000,14.888,100338.185
54.000,14.681,102091.685
55.000,14.987,101175.762
56.000,15.243,100605.908
57.000,14.963,100944.815
58.000,15.225,101631.585
59.000,15.486,101665.914
60.000,14.909,101702.502
61.000,14.638,101909.395
62.000,14.865,101063.458
63.000,15.063,100722.351
64.000,15.166,101234.571
65.000,14.823,101400.975
66.000,14.774,102058.304
67.000,15.330,101801.494
68.000,15.083,100777.618
69.000,14.682,100584.538
70.000,15.200,100576.211
71.000,14.897,101803.610
72.000,15.214,101300.682
73.000,14.562,101419.497
74.000,14.719,101110.229
75.000,15.073,102288.150
76.000,15.038,101290.267
77.000,14.986,100973.311
78.000,15.481,100520.437
79.000,15.407,100793.919
80.000,15.403,100944.616
81.000,14.847,100633.339
82.000,15.533,101418.487
83.000,15.422,101190.347
84.000,14.830,101321.532
85.000,15.340,101252.081
86.000,14.996,100801.712
87.000,15.102,100773.931
88.000,14.624,102053.566
89.000,15.399,100600.414
90.000,15.229,101882.664
91.000,14.819,101480.704
92.000,15.060,100945.263
93.000,14.850,100571.352
94.000,15.502,100582.023
95.000,14.902,102141.030
96.000,14.794,101890.109
97.000,14.796,101575.074
98.000,15.075,100379.222
99.000,15.471,100309.140
100.000,15.420,101861.669
101.000,15.561,101839.281
102.000,14.894,102273.657
103.000,15.402,101399.793
104.000,14.622,101784.994
105.000,14.784,101426.888
106.000,14.838,101441.130
107.000,15.533,101018.797
108.000,15.205,101871.724
109.000,15.564,101187.604
110.000,14.653,100785.763
111.000,15.005,100323.204
112.000,15.322,100948.034
113.000,14.912,100621.483
114.000,15.096,100476.546
115.000,15.182,102208.711
116.000,15.133,101243.297
117.000,15.469,101560.719
118.000,14.630,101125.653
119.000,14.748,100872.895
120.000,15.183,101228.596
121.000,15.494,100338.513
122.000,14.747,100957.868
123.000,15.335,101814.686
124.000,14.767,100579.234
125.000,15.247,100501.222
126.000,15.526,101554.405
127.000,15.588,100493.754
128.000,14.725,100781.542
129.000,15.290,100655.722
130.000,14.642,100895.996
131.000,15.178,101893.025
132.000,14.799,100375.784
133.000,14.773,101262.154
134.000,15.001,100726.126
135.000,14.615,100381.647
136.000,14.830,101569.618
137.000,14.611,102225.444
138.000,14.712,100328.293
139.000,14.665,102244.445
140.000,15.038,102292.278
141.000,15.121,100999.979
142.000,15.188,101084.651
143.000,15.348,101499.909
144.000,14.670,101649.805
145.000,15.479,102232.338
146.000,14.659,101469.092
147.000,15.047,102117.141
148.000,15.109,100396.944
149.000,15.307,100394.746
150.000,15.447,100785.130
151.000,15.037,101239.804
152.000,14.838,101154.767
153.000,15.450,101858.285
154.000,14.948,100461.304
155.000,14.837,101366.286
156.000,15.565,100909.276
157.000,15.355,100551.305
158.000,15.615,101609.810
159.000,14.772,101468.878
160.000,15.036,100696.773
161.000,15.259,101394.539
162.000,15.066,100944.090
163.000,15.101,100667.911
164.000,15.304,100466.787
165.000,14.705,100878.521
166.000,15.091,100584.896
167.000,14.945,101728.096
168.000,14.764,101634.412
169.000,14.843,101889.861
170.000,15.162,102104.079
171.000,15.231,101714.770
172.000,15.172,100538.727
173.000,14.940,101049.374
174.000,14.923,101663.658
175.000,15.544,100885.606
176.000,14.651,100870.127
177.000,15.112,100766.925
178.000,14.989,100684.304
179.000,15.095,102021.407
180.000,15.548,102295.954
181.000,15.288,102082.360
182.000,15.354,101935.321
183.000,15.366,102270.636
184.000,14.839,100411.773
185.000,14.855,101681.201
186.000,14.671,102138.613
187.000,15.501,101067.742
188.000,15.177,100802.271
189.000,15.145,102056.638
190.000,15.080,101974.165
191.000,15.119,101574.707
192.000,15.323,101253.888
193.000,15.242,101010.175
194.000,15.565,100632.246
195.000,15.207,101929.143
196.000,15.432,101363.632
197.000,14.782,100340.902
198.000,15.079,102061.359
199.000,15.203,101838.460
200.000,14.662,100748.494
201.000,14.802,101436.140
202.000,15.522,101426.270
203.000,14.819,100873.359
204.000,14.725,101158.153
205.000,14.867,100610.095
206.000,14.861,102235.632
207.000,14.958,102207.560
208.000,15.240,100326.631
209.000,15.606,101591.332
210.000,15.099,102245.162
211.000,14.797,101734.467
212.000,14.982,101681.004
213.000,15.552,100733.735
214.000,14.660,100532.172
215.000,14.740,101265.379
216.000,15.232,100869.626
217.000,15.196,102215.185
218.000,15.620,101582.772
219.000,15.196,100399.178
220.000,15.230,102099.237
221.000,15.575,100432.070
222.000,15.213,101971.273
223.000,15.395,102133.111
224.000,15.045,101134.639
225.000,15.244,100496.007
226.000,15.659,100838.014
227.000,15.050,102145.566
228.000,14.677,101462.883
229.000,15.054,100369.156
230.000,15.292,101430.999
231.000,15.195,101299.949
232.000,14.980,101755.573
233.000,15.087,101783.223
234.000,14.831,101363.151
235.000,15.207,100801.720
236.000,14.991,101784.006
237.000,14.832,101345.035
238.000,15.240,102167.034
239.000,15.500,101217.697
240.000,14.743,102298.252
241.000,14.751,102182.212
242.000,14.695,100735.446
243.000,15.572,101626.485
244.000,14.740,101504.434
245.000,15.208,101220.436
246.000,15.632,100730.042
247.000,15.613,100470.977
248.000,15.472,101033.900
249.000,14.914,101067.699
250.000,15.359,101364.506
251.000,15.296,100747.065
252.000,15.302,102064.512
253.000,15.299,102195.582
254.000,15.531,100967.772
255.000,15.678,100797.135
256.000,15.495,102222.789
257.000,15.002,100737.740
258.000,15.684,101453.856
259.000,15.299,101973.791
260.000,15.421,101796.755
261.000,15.675,101911.749
262.000,15.391,101599.672
263.000,15.356,100779.169
264.000,14.918,101731.913
265.000,15.458,101804.166
266.000,14.747,100661.117
267.000,14.788,101469.082
268.000,14.927,101420.140
269.000,15.582,102210.650
270.000,15.659,101201.410
271.000,15.556,100546.654
272.000,15.554,101715.406
273.000,15.544,102097.999
274.000,15.410,100978.101
275.000,15.584,101226.987
276.000,15.195,100998.707
277.000,15.389,101915.094
278.000,14.702,100594.503
279.000,14.865,100857.477
280.000,15.251,102062.415
281.000,14.767,101277.810
282.000,15.050,100926.847
283.000,15.264,102153.371
284.000,14.896,100401.847
285.000,15.465,100968.113
286.000,15.645,100675.263
287.000,15.569,100565.314
288.000,15.534,101398.425
289.000,15.277,101269.755
290.000,15.105,101550.652
291.000,15.682,101369.209
292.000,14.921,101270.895
293.000,15.454,101236.449
294.000,15.101,100939.638
295.000,15.159,101018.728
296.000,14.791,100454.257
297.000,15.279,100654.984
298.000,14.723,100527.668
299.000,15.259,100834.555
300.000,15.676,101350.790
301.000,15.514,101242.881
302.000,15.281,101364.782
303.000,14.980,100549.738
304.000,14.806,101592.509
305.000,14.909,101261.191
306.000,15.601,101639.324
307.000,14.783,102040.088
308.000,15.592,100397.534
309.000,15.406,101054.303
310.000,14.932,100805.043
311.000,14.947,101982.047
312.000,15.693,100452.165
313.000,15.148,100755.708
314.000,15.356,100905.042
315.000,14.984,101694.568
316.000,15.236,101966.940
317.000,15.287,101979.108
318.000,14.832,100851.266
319.000,15.198,102156.820
320.000,15.076,100691.735
321.000,15.363,100356.635
322.000,15.202,101988.178
323.000,14.901,100784.446
324.000,15.626,101405.198
325.000,15.341,100780.613
326.000,15.143,100985.162
327.000,15.336,102077.864
328.000,15.275,101631.018
329.000,15.538,100521.888
330.000,15.034,100569.387
331.000,14.783,101463.334
332.000,15.627,100696.736
333.000,15.032,100561.883
334.000,14.813,101444.032
335.000,14.880,101580.258
336.000,15.127,100427.166
337.000,15.420,102294.464
338.000,15.050,102195.360
339.000,14.816,102166.501
340.000,15.513,101908.957
341.000,14.760,100992.041
342.000,14.767,100366.099
343.000,15.334,101062.887
344.000,15.689,102197.754
345.000,15.544,102287.164
346.000,15.746,100757.040
347.000,15.653,100659.633
348.000,15.347,100504.774
349.000,14.880,101241.458
350.000,15.407,102220.001
351.000,14.901,101020.677
352.000,15.249,101502.115
353.000,14.772,101497.162
354.000,15.705,102297.473
355.000,15.544,100718.868
356.000,15.211,100647.241
357.000,14.922,100869.063
358.000,15.426,101791.536
359.000,15.743,101143.018
360.000,15.695,101476.576
361.000,15.594,102250.537
362.000,14.836,100359.799
363.000,15.220,100798.864
364.000,15.001,102096.866
