# time(s),temperature(deg C),Pressure(Pa)
0.000,14.534,101002.148
1.000,14.628,102106.481
2.000,14.696,102142.610
3.000,15.492,101760.589
4.000,15.057,101417.812
5.000,14.801,102299.936
6.000,15.382,101814.328
7.000,15.156,101798.598
8.000,15.004,100424.728
9.000,15.407,101459.714
10.000,14.562,102142.114
11.000,15.506,101518.427
12.000,14.819,100501.204
13.000,15.239,102264.464
14.000,15.457,102280.013
15.000,14.800,101683.387
16.000,14.959,101372.764
17.000,15.271,101889.696
18.000,15.347,100597.448
19.000,15.023,102179.570
20.000,14.944,101526.121
21.000,15.469,102094.534
22.000,15.506,100551.432
23.000,15.471,101207.403
24.000,15.475,101556.636
25.000,15.507,101361.627
26.000,14.895,100936.077
27.000,14.981,101134.668
28.000,15.283,102169.294
29.000,14.645,101710.046
30.000,15.412,102230.254
31.000,14.812,101088.061
32.000,15.393,102167.197
33.000,14.601,101714.249
34.000,15.265,101060.464
35.000,14.807,102039.483
36.000,14.986,101724.806
37.000,15.148,101164.462
38.000,15.415,102249.639
39.000,15.126,101783.379
40.000,14.832,101323.209
41.000,14.785,101006.419
42.000,15.078,100370.207
43.000,14.919,101266.186
44.000,15.236,101903.277
45.000,15.108,100898.678
46.000,15.128,101898.935
47.000,15.349,101509.632
48.000,14.800,102169.946
49.000,15.286,100549.834
50.000,15.208,100361.142
51.000,15.462,101454.830
52.000,14.796,101959.893
53.000,14.546,101652.743
54.000,14.560,102174.610
55.000,15.363,101728.960
56.000,15.019,100959.536
57.000,14.745,100898.635
58.000,14.823,100644.802
59.000,14.716,101906.675
60.000,14.637,101294.478
61.000,15.252,100698.541
62.000,14.763,100767.962
63.000,14.888,100630.830
64.000,15.100,101926.227
65.000,15.372,101957.064
66.000,15.365,102101.512
67.000,14.772,102054.016
68.000,15.385,101794.061
69.000,14.948,102081.155
70.000,14.650,100800.766
71.000,14.955,101775.668
72.000,15.339,101628.688
73.000,15.090,101557.470
74.000,15.257,100697.817
75.000,14.704,101235.221
76.000,15.407,102162.264
77.000,15.320,101698.044
78.000,15.494,100485.950
79.000,15.351,100669.019
80.000,14.905,100508.057
81.000,14.631,101091.182
82.000,15.217,102092.521
83.000,15.227,101306.190
84.000,15.119,100380.745
85.000,15.184,101383.458
86.000,15.451,101289.469
87.000,15.295,101716.195
88.000,15.362,100400.581
89.000,14.760,102094.685
90.000,15.080,101335.088
91.000,15.401,100930.318
92.000,15.193,100735.809
93.000,15.037,101716.820
94.000,14.644,100660.968
95.000,14.809,102240.091
96.000,15.001,101288.368
97.000,15.406,100511.501
98.000,14.625,100847.957
99.000,15.042,100454.752
100.000,15.526,100490.796
101.000,15.409,101293.256
102.000,15.520,101507.461
103.000,15.151,101526.880
104.000,14.963,101472.654
105.000,15.554,100501.616
106.000,15.577,100625.905
107.000,15.441,101473.637
108.000,14.828,101986.322
109.000,14.963,102084.725
110.000,15.373,101501.850
111.000,15.150,101749.886
112.000,14.918,101532.141
113.000,14.673,100347.998
114.000,14.682,100651.499
115.000,15.492,100377.225
116.000,14.684,100910.182
117.000,14.913,100824.855
118.000,15.472,102013.535
119.000,15.029,100934.029
120.000,15.332,101820.135
121.000,14.917,101686.864
122.000,15.413,101751.435
123.000,14.785,101664.896
124.000,15.189,100740.449
125.000,15.115,100651.127
126.000,15.256,101805.329
127.000,14.994,100892.722
128.000,15.148,101753.972
129.000,14.635,102277.817
130.000,15.306,101691.230
131.000,15.133,101195.040
132.000,15.141,100431.228
133.000,14.713,100872.724
134.000,15.301,101583.958
135.000,15.133,101005.473
136.000,15.409,101818.088
137.000,15.002,100744.155
138.000,15.040,100565.479
139.000,15.274,101106.766
140.000,15.356,100530.615
141.000,15.262,101289.830
142.000,14.760,102204.797
143.000,14.777,100886.942
144.000,15.467,101310.459
145.000,15.152,101938.312
146.000,14.866,100975.539
147.000,15.452,102243.394
148.000,15.355,100815.250
149.000,15.537,101998.964
150.000,15.419,102280.001
151.000,15.410,101463.186
152.000,15.185,100781.484
153.000,15.205,101212.548
154.000,15.370,101935.304
155.000,15.325,100506.726
156.000,15.276,101574.705
157.000,14.886,101543.585
158.000,15.574,101101.502
159.000,15.445,100598.953
160.000,14.812,101022.609
161.000,15.512,102270.831
162.000,15.254,100354.074
163.000,15.307,102151.430
164.000,14.879,101235.481
165.000,15.120,102060.557
166.000,14.679,100511.407
167.000,15.015,100952.266
168.000,15.602,101045.868
169.000,15.339,100729.805
170.000,15.592,100329.994
171.000,14.753,100305.772
172.000,15.070,101830.343
173.000,15.467,101142.637
174.000,14.738,100940.596
175.000,14.694,101237.115
176.000,14.723,101259.840
177.000,15.476,100659.426
178.000,15.334,100863.723
179.000,14.719,101689.952
180.000,14.788,101337.889
181.000,15.287,100597.861
182.000,14.906,100880.506
183.000,15.450,102105.626
184.000,14.697,102068.174
185.000,14.644,101587.540
186.000,15.105,101897.489
187.000,14.975,102043.623
188.000,14.663,101535.131
189.000,15.317,101050.926
190.000,15.311,100573.664
191.000,14.963,100321.993
192.000,14.660,101987.678
193.000,15.430,100552.958
194.000,15.172,100948.807
195.000,14.660,102012.242
196.000,15.277,100629.416
197.000,15.499,102184.370
198.000,15.293,100305.510
199.000,14.916,101985.845
200.000,14.815,101795.992
