# time(s),temperature(deg C),Pressure(Pa)
0.000,14.606,100691.177
1.000,15.494,101376.932
2.000,14.548,101570.140
3.000,15.084,101739.630
4.000,14.551,102231.600
5.000,14.807,101257.442
6.000,15.360,100389.175
7.000,15.224,100928.301
8.000,14.525,100344.955
9.000,15.377,101641.087
10.000,14.781,100606.323
11.000,14.610,101827.126
12.000,15.115,101784.332
13.000,15.064,101235.892
14.000,14.786,101290.051
15.000,14.552,101504.291
16.000,14.978,101674.005
17.000,14.927,101784.548
18.000,14.617,101984.606
19.000,14.517,100319.763
20.000,14.708,101295.526
21.000,15.330,101351.644
22.000,14.576,100812.035
23.000,14.819,100742.194
24.000,15.222,101452.110
25.000,15.091,100704.092
26.000,15.376,102121.413
27.000,15.199,101004.742
28.000,14.864,102241.827
29.000,14.757,101400.111
30.000,14.671,102203.083
31.000,14.680,102257.414
32.000,14.976,100837.261
33.000,14.585,100643.676
34.000,15.262,100720.922
35.000,14.683,101932.680
36.000,14.838,100978.705
37.000,15.408,101040.621
38.000,14.980,100981.922
39.000,14.791,100598.501
40.000,15.206,101524.678
41.000,15.182,100370.591
42.000,15.229,100987.420
43.000,15.083,102085.455
44.000,15.196,102290.226
45.000,15.061,100462.012
46.000,14.862,101285.214
47.000,15.439,101375.067
48.000,15.448,101501.966
49.000,14.877,101650.550
50.000,14.816,102150.904
51.000,14.594,101556.255
52.000,15.295,100698.255
53.000,15.518,101875.952
54.000,14.698,100327.382
55.000,15.118,100789.454
56.000,14.599,101812.584
57.000,15.361,101002.095
58.000,14.767,100392.265
59.000,14.739,100558.598
60.000,14.936,101556.980
61.000,15.007,100701.788
62.000,15.044,100796.287
63.000,15.518,101088.832
64.000,15.434,101526.821
65.000,15.088,100784.714
66.000,15.108,101360.934
67.000,15.120,100706.761
68.000,15.168,101433.671
69.000,15.201,101947.732
70.000,15.099,101047.838
71.000,14.836,100390.123
72.000,15.113,102136.571
73.000,15.508,101382.975
74.000,15.470,100425.319
75.000,14.658,100526.268
76.000,14.560,101002.046
77.000,15.333,101553.332
78.000,15.081,100751.621
79.000,14.703,101777.884
80.000,15.250,100631.963
81.000,15.452,101461.532
82.000,15.189,101608.876
83.000,15.319,101767.506
84.000,15.065,100842.588
