# time(s),temperature(deg C),Pressure(Pa)
0.000,15.204,100534.092
1.000,14.776,100774.345
2.000,14.743,102029.828
3.000,15.064,101035.011
4.000,15.021,101307.066
5.000,14.633,102050.934
6.000,15.306,101409.125
7.000,14.798,102084.131
8.000,15.040,101069.712
9.000,15.016,100397.337
10.000,15.049,100354.085
11.000,15.179,101909.985
12.000,15.384,100800.868
13.000,14.964,101402.018
14.000,15.250,100422.269
15.000,15.465,101584.460
16.000,15.119,101560.944
17.000,15.343,101716.493
18.000,14.935,100879.860
19.000,15.122,100725.800
20.000,14.585,101629.996
21.000,14.807,101912.076
22.000,15.247,101441.347
23.000,14.713,100961.751
24.000,14.808,101512.836
25.000,15.057,100440.534
26.000,15.263,101448.501
27.000,15.493,101253.213
28.000,14.532,101896.612
29.000,15.057,101685.954
30.000,15.080,100509.275
31.000,15.353,101913.629
32.000,15.506,100544.618
33.000,14.948,100954.995
34.000,14.911,100518.768
35.000,14.683,101113.968
36.000,14.955,101697.082
37.000,14.674,101102.221
38.000,15.184,102066.542
39.000,15.332,101685.178
40.000,15.055,101449.669
41.000,14.552,102166.439
42.000,15.272,100394.876
43.000,15.264,100866.656
44.000,14.684,100306.927
45.000,14.799,101445.840
46.000,14.810,101272.494
47.000,15.066,101803.619
48.000,15.145,101973.784
49.000,14.721,100907.299
50.000,15.344,100703.114
51.000,15.353,100792.833
52.000,14.669,101255.193
53.000,14.931,100754.240
54.000,15.042,101720.158
55.000,14.547,101813.335
56.000,15.189,100389.893
57.000,14.716,100488.777
58.000,15.341,102171.531
59.000,15.069,101192.541
60.000,15.192,101048.533
61.000,15.153,102109.485
62.000,15.183,102102.572
63.000,14.687,100800.335
64.000,15.423,102196.656
65.000,15.120,101810.319
66.000,14.804,100473.653
67.000,15.430,100945.884
68.000,15.090,100588.152
69.000,14.856,102139.795
70.000,15.275,101776.040
71.000,15.200,101425.050
72.000,14.933,100906.357
73.000,14.659,100815.199
74.000,14.843,100867.041
75.000,15.083,101016.596
76.000,15.440,101964.165
77.000,15.554,101717.541
78.000,14.837,102116.117
79.000,15.328,101269.270
80.000,14.894,101361.444
81.000,15.029,100362.392
82.000,14.798,101301.138
83.000,14.799,100637.296
84.000,15.448,101466.415
85.000,15.068,101525.616
86.000,15.305,101067.804
87.000,15.093,101245.082
88.000,15.335,100958.858
89.000,15.153,102279.106
90.000,14.962,101984.467
91.000,14.709,101291.614
92.000,14.827,101067.525
93.000,14.778,101310.620
94.000,15.080,101522.734
95.000,15.329,101321.434
96.000,15.210,101132.152
97.000,15.517,101661.036
98.000,15.097,101622.701
99.000,15.055,102099.432
100.000,15.389,101501.399
101.000,15.275,100959.881
102.000,14.841,102003.357
103.000,14.792,102074.367
104.000,14.943,101561.094
105.000,14.799,102241.312
106.000,14.906,101736.441
107.000,15.576,102106.987
108.000,15.354,100363.629
109.000,15.017,100731.254
110.000,15.283,100318.899
111.000,15.283,101254.723
112.000,15.151,100955.840
113.000,14.684,100923.394
114.000,14.894,100621.120
115.000,14.584,101500.443
116.000,15.036,100470.885
117.000,14.748,100583.605
118.000,15.128,102192.550
119.000,14.757,101643.364
120.000,14.862,100323.226
121.000,14.943,100333.133
122.000,15.272,102075.020
123.000,14.779,100480.656
124.000,15.021,100480.906
125.000,15.324,101858.306
126.000,15.481,101644.397
127.000,14.601,100774.188
128.000,15.271,102284.278
129.000,15.356,101146.027
130.000,15.507,102293.599
131.000,15.502,101851.986
132.000,14.826,101251.876
133.000,15.377,100828.650
134.000,15.062,101565.268
135.000,15.460,100539.507
136.000,14.957,100890.083
137.000,15.423,100633.471
138.000,15.469,101852.373
139.000,15.220,102199.390
140.000,15.155,102261.440
141.000,14.607,102111.271
142.000,15.103,100397.023
143.000,15.469,101823.669
144.000,15.533,101084.022
145.000,15.519,101390.051
146.000,15.135,101921.777
147.000,15.186,102221.290
148.000,15.374,102213.485
149.000,15.296,100532.513
150.000,14.831,100524.666
151.000,15.087,101658.271
152.000,15.488,102133.276
153.000,15.111,101473.423
154.000,14.949,102035.229
155.000,14.900,102184.157
156.000,15.270,101554.746
157.000,15.107,100894.372
158.000,14.989,101006.004
159.000,15.173,101468.004
160.000,14.864,100672.386
161.000,15.104,100602.898
162.000,14.764,101259.804
163.000,14.718,100692.416
164.000,15.120,100758.328
165.000,15.099,102092.511
166.000,14.767,100689.767
167.000,14.922,100332.836
168.000,15.163,101860.129
169.000,15.574,100758.962
170.000,15.088,101955.902
171.000,15.274,100376.443
172.000,14.980,100457.595
173.000,15.371,101422.246
174.000,15.480,100490.633
175.000,15.073,100450.205
176.000,14.946,101120.122
177.000,15.312,100766.850
178.000,14.874,102015.313
179.000,15.409,101675.238
180.000,15.148,101566.679
181.000,15.124,100549.877
182.000,15.321,101883.599
183.000,14.961,100619.374
184.000,15.627,101775.505
185.000,15.146,102056.248
186.000,15.087,101127.702
187.000,15.286,101370.860
188.000,15.104,100391.662
189.000,14.927,101786.653
190.000,14.945,101982.676
191.000,15.397,102297.644
192.000,14.650,101056.124
193.000,15.525,101384.558
194.000,15.320,100915.110
195.000,14.908,100741.006
196.000,14.794,100540.306
197.000,15.034,101587.403
198.000,15.007,101429.704
199.000,14.910,101037.299
200.000,15.047,101886.539
201.000,15.639,101336.590
202.000,15.067,101839.425
203.000,14.895,100362.392
204.000,15.005,100436.528
205.000,14.968,101881.899
206.000,15.054,101552.354
207.000,15.213,100809.252
208.000,14.672,102189.204
209.000,15.544,101352.348
210.000,15.130,101416.928
